Name,Status,Space Flight (hr)
Timothy L. Kopra,Active,5857
Kevin R. Kregel,Retired,1265
Wendy B. Lawrence,Retired,1223
Mark C. Lee,Retired,789
David C. Leestma,Management,532
William B. Lenoir,Deceased,122
Fred W. Leslie,Retired,381
Byron K. Lichtenberg,Retired,461
Don L. Lind,Retired,168
Kjell N. Lindgren,Active,3400
Steven W. Lindsey,Retired,1510
Jerry M. Linenger,Retired,3435
Richard M. Linnehan,Management,1427
Gregory T. Linteris,Retired,471
John A. Llewellyn,Retired,0
Paul S. Lockhart,Retired,663
Michael E. Lopez-Alegria,Retired,6190
Christopher J. Loria,Retired,0
J. Mike Lounge,Deceased,483
Jack R. Lousma,Retired,1619
Stanley G. Love,Management,306
James A. Lovell Jr. ,Retired,715
G. David Low,Deceased,714
Edward T. Lu,Retired,4962
Shannon W. Lucid,Retired,5354
Sandra H. Magnus,Retired,3776
Thomas H. Marshburn,Active,3871
Michael J. Massimino,Management,571
Richard A. Mastracchio,Active,5461
Thomas K. Mattingly II ,Retired,508
K. Megan McArthur,Active,309
William S. McArthur Jr. ,Management,5398
S. Christa McAuliffe,Deceased,0
Jon A. McBride,Retired,197
Bruce McCandless II ,Retired,312
William C. McCool,Deceased,382
Michael J. McCulley,Retired,119
James A. McDivitt,Retired,338
Donald R. McMonagle,Retired,605
Ronald E. McNair,Deceased,191
Carl J. Meade,Retired,712
Bruce E. Melnick,Retired,311
Pamela A. Melroy,Retired,914
Leland D. Melvin,Management,565
Dorothy M. Metcalf-Lindenberger,Active,362
F. Curtis Michel,Retired,0
Edgar D. Mitchell,Retired,216
Barbara R. Morgan,Retired,305
Lee M. Morin,Management,259
Richard M. Mullane,Retired,356
Story Musgrave,Retired,1281
Steven R. Nagel,Retired,721
Bill Nelson,Retired,146
George D. Nelson,Retired,411
James H. Newman,Retired,1042
Carlos I. Noriega,Retired,481
Lisa M. Nowak,Retired,306
Karen L. Nyberg,Active,4320
Bryan D. O'Connor,Retired,383
Brian T. O'Leary,Deceased,0
Ellen Ochoa,Management,979
William A. Oefelein,Retired,308
John D. Olivas,Retired,665
Ellison S. Onizuka,Deceased,73
Stephen S. Oswald,Retired,814
Robert F. Overmyer,Deceased,290
William A. Pailes,Retired,97
Scott E. Parazynski,Retired,1404
Ronald A. Parise,Deceased,614
Robert A. Parker,Retired,462
Niclolas J. M. Patrick,Retired,638
James A. Pawelczyk,Retired,381
Gary E. Payton,Retired,73
Donald H. Peterson,Retired,120
Donald R. Pettit,Active,8872
John L. Phillips,Retired,4880
William R. Pogue,Retired,2017
Alan G. Poindexter,Deceased,669
Mark L. Polansky,Retired,995
Charles J. Precourt,Retired,950
William F. Readdy,Retired,672
Kenneth S. Reightler Jr. ,Retired,327
James F. Reilly II ,Retired,854
Garrett E. Reisman,Retired,2571
Judith A. Resnik,Deceased,144
Paul W. Richards,Management,307
Richard N. Richards,Retired,813
Sally K. Ride,Deceased,343
Patricia Hilliard Robertson,Deceased,0
Stephen K. Robinson,Retired,1162
Kent V. Rominger,Retired,1611
Stuart A. Roosa,Deceased,216
Jerry L. Ross,Retired,1393
Kathleen Rubins,Active,2762
Mario Runco Jr. ,Management,551
Albert Sacco Jr.,Retired,381
Robert L. Satcher Jr. ,Retired,259
Walter M. Schirra Jr. ,Deceased,295
Harrison H. Schmitt,Retired,301
Russell L. Schweickart,Retired,241
Francis R. Scobee,Deceased,167
David R. Scott,Retired,546
Winston E. Scott,Retired,590
Paul D. Scully-Power,Retired,197
Richard A. Searfoss,Retired,939
Margaret Rhea Seddon,Retired,722
Elliot M. See Jr. ,Deceased,0
Ronald M. Sega,Retired,420
Piers J. Sellers,Management,839
Brewster H. Shaw Jr. ,Retired,533
Alan B. Shepard Jr. ,Deceased,216
William M. Shepherd,Retired,3823
Loren J. Shriver,Retired,386
Donald K. Slayton,Deceased,217
Michael J. Smith,Deceased,0
Steven L. Smith,Management,960
Sherwood C. Spring,Retired,165
Robert C. Springer,Retired,237
Thomas P. Stafford,Retired,507
Heidemarie M. Stefanyshyn-Piper,Retired,663
Robert L. Stewart,Retired,289
Nicole P. Stott,Active,2477
Frederick W. Sturckow,Retired,1233
Kathryn D. Sullivan,Retired,532
Steven R. Swanson,Active,4700
John L. Swigert Jr. ,Deceased,142
Daniel M. Tani,Retired,3162
Joseph R. Tanner,Retired,1045
Norman E. Thagard,Retired,3373
Andrew S. W. Thomas,Management,4257
Donald A. Thomas,Retired,1040
Stephen D. Thorne,Deceased,0
Kathryn C. Thornton,Retired,975
William E. Thornton,Retired,315
Pierre J. Thuot,Retired,654
Scott D. Tingle,Active,0
Richard H. Truly,Retired,199
Lodewijk van den Berg,Retired,168
James D. van Hoften,Retired,338
Mark T. Vande Hei,Active,0
Charles Lacy Veach,Deceased,436
Terry W. Virts Jr. ,Active,5122
James S. Voss,Retired,4853
Janice E. Voss,Deceased,1179
Rex J. Walheim,Active,872
Charles D. Walker,Retired,477
David M. Walker,Deceased,724
Shannon Walker,Active,3919
Carl E. Walz,Retired,5533
Taylor G. Wang,Retired,168
Mary E. Weber,Retired,450
Paul J. Weitz,Retired,793
James D. Wetherbee,Retired,1594
Douglas H. Wheelock,Active,4281
Edward H. White II ,Deceased,97
Peggy A. Whitson,Active,11698
Terrence W. Wilcutt,Management,1008
Clifton C. Williams Jr. ,Deceased,0
Donald E. Williams,Retired,287
Jeffrey N. Williams,Active,12818
Sunita L. Williams,Active,7721
Barry E. Wilmore,Active,4272
Stephanie D. Wilson,Active,1031
G. Reid Wiseman,Active,3968
Peter J. K. Wisoff,Retired,1064
David A. Wolf,Retired,4044
Neil W. Woodward III ,Retired,0
Alfred M. Worden,Retired,295
John W. Young,Retired,835
George D. Zamka,Retired,692
